Date,Open,High,Low,Close,Adj Close,Volume
2023-12-04,45671.500000,46484.449219,45484.199219,46431.398438,46431.398438,311200
2023-12-05,46895.898438,47230.550781,46653.648438,47012.250000,47012.250000,326100
2023-12-06,47256.750000,47259.851563,46750.199219,46834.550781,46834.550781,244200
2023-12-07,46735.398438,46927.699219,46507.148438,46841.398438,46841.398438,208100
2023-12-08,46797.199219,47303.648438,46793.898438,47262.000000,47262.000000,218300
2023-12-11,47233.300781,47588.000000,47186.601563,47314.250000,47314.250000,182500
2023-12-12,47421.699219,47454.000000,47004.050781,47097.550781,47097.550781,182000
2023-12-13,47190.750000,47201.949219,46886.898438,47092.250000,47092.250000,202300
2023-12-14,47567.648438,47943.601563,47510.851563,47732.300781,47732.300781,193100
2023-12-15,47939.898438,48219.949219,47632.851563,48143.550781,48143.550781,313900
2023-12-18,48068.500000,48076.601563,47806.699219,47867.699219,47867.699219,157300
2023-12-19,47940.398438,48017.000000,47646.050781,47870.898438,47870.898438,189800
2023-12-20,48085.351563,48166.148438,47202.648438,47445.300781,47445.300781,242500
2023-12-21,47172.449219,47932.398438,46919.699219,47840.148438,47840.148438,208000
2023-12-22,47837.750000,48071.398438,47415.851563,47491.851563,47491.851563,165800
2023-12-26,47576.398438,47838.449219,47411.648438,47724.851563,47724.851563,118700
2023-12-27,47818.500000,48347.648438,47806.699219,48282.199219,48282.199219,184900
2023-12-28,48479.050781,48636.449219,48343.148438,48508.550781,48508.550781,391100
2023-12-29,48374.851563,48477.699219,48091.851563,48292.250000,48292.250000,174000
2024-01-01,null,null,null,null,null,null
2024-01-02,48194.800781,48223.550781,47689.800781,47761.648438,47761.648438,183200
2024-01-03,47796.300781,47798.750000,47481.351563,47704.949219,47704.949219,233300
2024-01-04,47805.398438,48281.199219,47738.148438,48195.851563,48195.851563,175700
2024-01-05,48245.550781,48381.949219,47822.851563,48159.000000,48159.000000,181000
2024-01-08,48096.648438,48154.500000,47387.351563,47450.250000,47450.250000,231400
2024-01-09,47705.398438,47939.300781,47156.050781,47242.648438,47242.648438,161000
2024-01-10,47073.851563,47423.449219,47010.800781,47360.851563,47360.851563,165200
2024-01-11,47538.601563,47662.101563,47237.000000,47438.351563,47438.351563,132500
2024-01-12,47572.699219,47873.699219,47408.500000,47709.800781,47709.800781,191600
2024-01-15,47891.050781,48248.050781,47825.398438,48158.300781,48158.300781,167100
2024-01-16,48109.949219,48305.398438,48002.851563,48125.101563,48125.101563,224500
2024-01-17,46573.949219,47212.750000,45979.601563,46064.449219,46064.449219,499600
2024-01-18,45492.750000,46184.050781,45430.699219,45713.550781,45713.550781,275000
2024-01-19,46103.500000,46249.851563,45558.050781,45701.148438,45701.148438,296600
2024-01-23,46495.449219,46580.300781,44886.101563,45015.050781,45015.050781,422600
2024-01-24,44489.398438,45485.500000,44489.398438,45082.398438,45082.398438,348700
2024-01-25,45057.949219,45139.050781,44429.000000,44866.148438,44866.148438,386800
2024-01-29,45171.500000,45660.351563,45110.898438,45442.351563,45442.351563,336800
2024-01-30,45481.500000,45678.699219,45206.050781,45367.750000,45367.750000,232100
2024-01-31,45295.648438,46179.750000,45071.199219,45996.800781,45996.800781,373100
2024-02-01,46164.898438,46306.898438,45668.351563,46188.648438,46188.648438,305700
2024-02-02,46568.199219,46892.351563,45901.250000,45970.949219,45970.949219,337000
2024-02-05,45962.250000,46048.601563,45615.101563,45825.550781,45825.550781,265900
2024-02-06,45891.199219,45932.148438,45527.000000,45690.800781,45690.800781,178600
2024-02-07,45944.601563,46062.851563,45620.500000,45818.500000,45818.500000,283700
2024-02-08,45973.851563,46181.199219,44893.750000,45012.000000,45012.000000,319900
2024-02-09,44986.750000,45718.148438,44859.148438,45634.550781,45634.550781,276000
2024-02-12,45664.300781,45748.500000,44633.851563,44882.250000,44882.250000,268800
2024-02-13,45056.800781,45750.398438,44819.550781,45502.398438,45502.398438,245900
2024-02-14,45014.648438,46170.449219,44860.750000,45908.300781,45908.300781,280000
2024-02-15,46027.101563,46297.699219,45590.199219,46218.898438,46218.898438,277700
2024-02-16,46454.300781,46693.398438,46264.398438,46384.851563,46384.851563,291400
2024-02-19,46454.300781,46717.398438,46317.699219,46662.101563,46662.101563,0
